temp_x_1,temp_x_2,temp_x_3,temp_x_4,temp_x_5,temp_x_6,temp_x_7,temp_x_8
0.954,0.385,0.421,0.559,0.376,0.361,0.387,0.499
0.954,0.385,0.422,0.558,0.376,0.361,0.387,0.558
0.957,0.378,0.413,0.559,0.369,0.358,0.397,0.507
0.963,0.364,0.392,0.561,0.353,0.348,0.415,0.463
0.968,0.353,0.368,0.564,0.34,0.337,0.432,0.422
0.973,0.34,0.335,0.571,0.324,0.321,0.452,0.406
0.975,0.321,0.307,0.572,0.304,0.31,0.473,0.384
0.977,0.308,0.273,0.578,0.288,0.294,0.493,0.369
0.979,0.302,0.233,0.589,0.278,0.274,0.51,0.367
0.98,0.301,0.194,0.602,0.272,0.253,0.524,0.38
0.982,0.301,0.149,0.619,0.268,0.229,0.538,0.389
0.985,0.302,0.105,0.635,0.265,0.206,0.552,0.385
0.989,0.304,0.064,0.65,0.262,0.185,0.563,0.378
0.984,0.304,0.053,0.648,0.263,0.188,0.562,0.446
0.977,0.301,0.061,0.643,0.262,0.195,0.56,0.513
0.965,0.295,0.078,0.631,0.258,0.21,0.56,0.578
0.956,0.29,0.091,0.622,0.255,0.22,0.559,0.65
0.945,0.284,0.105,0.612,0.252,0.232,0.558,0.709
0.926,0.274,0.132,0.594,0.246,0.254,0.555,0.734
0.907,0.263,0.157,0.576,0.24,0.274,0.552,0.76
0.881,0.247,0.193,0.55,0.23,0.304,0.549,0.76
0.859,0.234,0.221,0.529,0.223,0.327,0.545,0.758
0.832,0.218,0.257,0.502,0.213,0.355,0.538,0.761
0.81,0.206,0.286,0.481,0.207,0.378,0.529,0.759
0.785,0.193,0.322,0.457,0.2,0.404,0.517,0.754
0.767,0.182,0.354,0.436,0.195,0.427,0.506,0.755
0.749,0.172,0.391,0.413,0.191,0.452,0.494,0.756
0.734,0.164,0.426,0.393,0.189,0.475,0.483,0.756
0.723,0.157,0.462,0.374,0.187,0.498,0.472,0.755
0.714,0.149,0.504,0.353,0.185,0.523,0.461,0.756
0.708,0.142,0.544,0.332,0.184,0.547,0.45,0.758
0.702,0.137,0.584,0.313,0.184,0.57,0.44,0.756
0.697,0.132,0.624,0.295,0.185,0.593,0.43,0.758
0.694,0.13,0.665,0.279,0.188,0.615,0.419,0.757
0.695,0.128,0.706,0.263,0.191,0.636,0.409,0.758
0.703,0.128,0.751,0.248,0.196,0.657,0.4,0.756
0.749,0.129,0.768,0.253,0.196,0.654,0.412,0.756
0.79,0.132,0.748,0.269,0.194,0.635,0.427,0.752
0.826,0.135,0.727,0.285,0.193,0.616,0.44,0.755
0.87,0.139,0.718,0.297,0.193,0.603,0.452,0.763
0.891,0.145,0.685,0.316,0.194,0.58,0.46,0.757
0.916,0.146,0.653,0.333,0.19,0.558,0.476,0.759
0.929,0.147,0.639,0.34,0.188,0.549,0.484,0.645
0.931,0.147,0.638,0.341,0.188,0.548,0.485,0.706
0.935,0.147,0.639,0.341,0.188,0.548,0.486,0.643
0.947,0.14,0.638,0.339,0.181,0.548,0.498,0.589
0.951,0.122,0.643,0.328,0.165,0.554,0.513,0.528
0.95,0.094,0.657,0.307,0.142,0.568,0.529,0.515
0.953,0.067,0.649,0.296,0.117,0.569,0.553,0.535
0.951,0.038,0.647,0.28,0.091,0.574,0.574,0.549
0.945,0.025,0.652,0.269,0.081,0.581,0.579,0.598
0.936,0.025,0.661,0.265,0.082,0.587,0.572,0.668
0.928,0.029,0.668,0.263,0.087,0.59,0.561,0.72
0.917,0.036,0.684,0.258,0.096,0.599,0.54,0.758
